target_word,count
place,56
however,48
since,38
state,22
consider,22
increase,18
discuss,12
arrive,10
accept,9
decrease,8
therefore,7
large,7
remain,7
certain,7
complete,6
appear,6
ancient,6
construct,5
powerful,5
request,5
inform,5
primary,4
perhaps,4
obtain,4
provide,4
destroy,4
prohibit,4
maintain,3
permit,3
frequently,3
desire,3
perform,3
extremely,2
demonstrate,2
receive,2
rapid,2
purchase,2
occur,2
occasionally,2
alter,1
courageous,1
assist,1
expire,1
consume,1
function,1
novel,1
observe,1
recall,1
select,1
significant,1
